system:index,NDVI,date,dewpoint,precip,pressure,radiation,region,tmax,tmean,tmin,.geo
1_2000_02_18,0.2923077476513783,2000-02-18,-2.3897529374536517,373.72346167756206,993.1058831556767,1784.2512374376586,Podunajska_nizina,10.136833208778066,2.121991145389267,-5.4473568329482305,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_03_05,0.29934850959063336,2000-03-05,-1.7910543131239687,691.1629020668172,993.5321141786133,2293.8606594369217,Podunajska_nizina,13.027542838265816,3.118598466671588,-3.8017908673785654,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_03_21,0.3308168316584527,2000-03-21,4.919221601159572,819.7220126188156,983.1179485674018,2495.099104847677,Podunajska_nizina,17.22479852061757,8.23023730427763,-0.3021472105947389,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_04_06,0.46654663138624913,2000-04-06,4.7284898712073895,185.11183055151665,983.4755857561915,4029.667659388385,Podunajska_nizina,24.31355432819335,11.00761171445263,-2.2595946600151473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_04_22,0.5512030538824945,2000-04-22,9.436059535827663,110.85660979751732,989.9081105102116,4802.404826862689,Podunajska_nizina,24.915709045302528,16.716235737696074,6.939030941947019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_05_08,0.5627487923750577,2000-05-08,9.068718920140334,280.6602093607032,989.6339234657123,4599.460052595584,Podunajska_nizina,27.43976805057684,17.176248260495072,7.321208735468402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_05_24,0.588457445780388,2000-05-24,9.5571523509663,260.0494458911363,991.2783342045335,5157.239448712071,Podunajska_nizina,30.216204995337268,18.461782631597163,7.526447086010806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_06_09,0.48308926799134316,2000-06-09,10.868847155490721,132.13797514689358,993.1427016175005,5560.959855083055,Podunajska_nizina,34.343655299846134,22.179816576010303,8.508759867427715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_06_25,0.43984638548512356,2000-06-25,9.736778831243033,464.1822528484236,986.1586146260399,4559.745932301558,Podunajska_nizina,33.284595191598775,19.22523645094971,8.223413535498953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_07_11,0.48435987916776246,2000-07-11,11.479047269420816,890.0456476459153,984.6912259763562,3586.620141351747,Podunajska_nizina,27.302926555004664,17.098775676255045,10.08905904547178,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_07_27,0.5030319629876802,2000-07-27,13.917915680713028,565.2602069974387,990.9586848946101,4046.9692861484373,Podunajska_nizina,27.91039539725101,19.55762737523255,12.103293563164415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_08_12,0.4461338672038498,2000-08-12,12.727114004757583,36.95668846958799,990.7306523658725,4602.088455057542,Podunajska_nizina,35.168898916961396,23.3739481565124,11.162669429319518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_08_28,0.42311820150777874,2000-08-28,9.755837368699801,340.2421960937507,989.4467588186703,3136.8554420758405,Podunajska_nizina,26.163598754224708,16.400601879572513,7.408032797903123,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_09_13,0.42036594907378716,2000-09-13,9.428261858040042,270.8417313773232,990.7253543271211,2224.8458929343597,Podunajska_nizina,26.471020056171465,14.766956345614629,8.592565587923326,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_09_29,0.3986206100464306,2000-09-29,11.101738992575976,427.03677145464695,987.5443059728117,2159.540454064536,Podunajska_nizina,24.127208961685298,15.42783691792554,8.083739179098249,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_10_15,0.4377491039977434,2000-10-15,7.186668182035178,97.81973823709477,996.079508762067,1916.950063854571,Podunajska_nizina,22.093079899088178,11.256236257936159,1.649340391424765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2000_10_31,0.4391135685782849,2000-10-31,6.446511844104759,648.7030344803176,985.2828637667466,1078.1005228247095,Podunajska_nizina,19.481761376048325,9.430654328396438,0.33014287879417953,"{""type"":""MultiPoint"",""coordinates"":[]}"
